company_name,product_code,product_description,customer_name,invoice_no,invoice_date,order_qty,item_mrp,total_value
Sri Thirumurugan Auto Parts,2318A-RESW,Panel (Meter) Cover Plastic,Amman Auto Agency,21/03/00043,01-03-2021,2,300,480
Sri Thirumurugan Auto Parts,COP-RAD735,Radiator Copper 735,Amman Auto Agency,SI-21/10/00039,04-10-2021,1,7000,7000
Sri Thirumurugan Auto Parts,WP-735FE,Water Pump 735 FE,Arun Tractor Spare Parts,SI-21/09/00031,21-09-2021,1,1600,1600
Sri Thirumurugan Auto Parts,1955R-RESW,Piston Assy. (Allum.) Power St,Cash - KP,SI-21/02/00002,03-02-2021,1,420,420
Sri Thirumurugan Auto Parts,1955Q-RESW,Gland Assy. (Nut) 48MM With Seal Kit (Power Steering),Cash - KP,SI-21/02/00002,03-02-2021,1,1350,1350
Sri Thirumurugan Auto Parts,2031B-RESW,Bolt & Nut Washer For Rear Rim,Cash - KP,SI-21/02/00016,20-02-2021,5,84,420
Sri Thirumurugan Auto Parts,2008-RESW,Needle Brg. Bull Pinion Shaft,Denz Motors,21/02/00001,01-02-2021,4,156,530.4
Sri Thirumurugan Auto Parts,2008A-RESW,Needle Brg. Bull Pinion Shaft,Denz Motors,21/02/00001,01-02-2021,5,90,382.5
Sri Thirumurugan Auto Parts,1728B-RESW,Mounting Bracket (4 Holes),Dinakaran Auto Spares,21/02/00007,03-02-2021,4,396,1267.2
Sri Thirumurugan Auto Parts,1819-RESW,Shifting Fork 4Th-735-855Fe,Dinakaran Auto Spares,21/02/00007,03-02-2021,1,552,441.6
Sri Thirumurugan Auto Parts,1955Q-RESW,Gland Assy. (Nut) 48MM With Seal Kit (Power Steering),Dinakaran Auto Spares,21/02/00007,03-02-2021,1,1350,1080
Sri Thirumurugan Auto Parts,2008-RESW,Needle Brg. Bull Pinion Shaft,Dinakaran Auto Spares,21/02/00007,03-02-2021,5,156,624
Sri Thirumurugan Auto Parts,1955R-RESW,Piston Assy. (Allum.) Power St,Dinakaran Auto Spares,21/02/00007,03-02-2021,2,420,672
